Date,Open*,High,Low,Close**,Volume,Market Cap
2017-12-26,0.537571,0.630296,0.521851,0.574041,"135,460","22,122,764"
2017-12-25,0.511051,0.554327,0.46505,0.538258,"217,843","20,743,736"
2017-12-24,0.540948,0.571033,0.453333,0.506089,"209,650","19,503,986"
2017-12-23,0.56822,0.662415,0.500506,0.534568,"359,217","20,601,528"
2017-12-22,0.640601,0.647613,0.453754,0.560138,"221,449","21,586,961"
2017-12-21,0.605703,0.677427,0.581208,0.638392,"274,134","24,602,765"
2017-12-20,0.614452,0.634382,0.556659,0.604167,"295,634","23,283,779"
2017-12-19,0.537456,0.746162,0.537456,0.615589,"415,077","23,723,968"
2017-12-18,0.481177,0.560095,0.45868,0.538764,"294,345","20,763,236"
2017-12-17,0.504184,0.529118,0.473144,0.479836,"126,808","18,492,231"
2017-12-16,0.474834,0.54364,0.422463,0.50409,"203,199","19,426,947"
2017-12-15,0.465955,0.508738,0.460775,0.474259,"104,267","18,277,301"
2017-12-14,0.477224,0.51234,0.438029,0.465119,"139,677","17,925,057"
2017-12-13,0.470715,0.503205,0.445619,0.478514,"177,990","18,441,283"
2017-12-12,0.465002,0.484292,0.440272,0.475933,"95,914","18,341,814"
2017-12-11,0.446388,0.485518,0.429024,0.472523,"158,275","18,210,398"
2017-12-10,0.482851,0.486382,0.411023,0.449102,"88,390","17,307,784"
2017-12-09,0.46241,0.489348,0.422736,0.481203,"115,218","18,544,913"
2017-12-08,0.51407,0.51407,0.394166,0.462582,"107,194","17,827,285"
2017-12-07,0.528601,0.557629,0.463037,0.521588,"192,561","20,101,296"
2017-12-06,0.490765,0.557848,0.433838,0.51463,"292,100","19,833,144"
2017-12-05,0.359407,0.492623,0.349099,0.49092,"127,140","18,919,393"
2017-12-04,0.360132,0.369484,0.329586,0.358701,"53,268","13,823,852"
2017-12-03,0.352134,0.375867,0.337357,0.358987,"106,477","13,834,874"
2017-12-02,0.368693,0.39028,0.348336,0.351804,"57,124","13,558,051"
2017-12-01,0.34596,0.368626,0.324927,0.368626,"94,225","14,206,348"
2017-11-30,0.302222,0.3718,0.295229,0.346649,"78,282","13,359,384"
2017-11-29,0.367146,0.399408,0.296825,0.297766,"120,062","11,475,499"
2017-11-28,0.387806,0.410399,0.366598,0.367455,"108,708","14,161,219"
2017-11-27,0.375708,0.411035,0.375268,0.390262,"94,078","15,040,170"
2017-11-26,0.409294,0.420844,0.375694,0.375694,"123,024","14,478,739"
2017-11-25,0.407152,0.423074,0.394416,0.409479,"98,679","15,780,767"
2017-11-24,0.38012,0.421528,0.355192,0.407778,"167,416","15,715,213"
2017-11-23,0.327153,0.489543,0.319815,0.380753,"299,588","14,673,706"
2017-11-22,0.374518,0.379182,0.323159,0.324232,"216,802","12,495,463"
2017-11-21,0.381708,0.420936,0.355391,0.375115,"139,391","14,456,425"
2017-11-20,0.445313,0.462143,0.375861,0.380291,"286,219","14,655,901"
2017-11-19,0.50108,0.512157,0.437768,0.445118,"404,353","16,848,877"
